ligandName,Frames,mode,complex,receptor,ligand,Internal,Van der Waals,Electrostatic,Polar Solvation,Non-Polar Solvation,Gas,Solvation,TOTAL,status
ligand,2,gb,1770.9233185600003,1732.0784611199997,78.35288152000001,-1.9184653865522705e-13,-37.9660000000001,-6.830999999999734,10.471599999999976,-5.1826240799999965,-44.79699999999993,5.288975919999981,-39.50802407999996,S
ligand,3,gb,1678.1676122400002,1636.38170656,81.7544008,0.0002000000002251,-37.979200000000176,-7.20040000000008,10.189000000000089,-4.978095120000004,-45.17960000000008,5.210904880000085,-39.96869511999999,S
ligand,4,gb,1793.23510216,1762.3492259999996,75.82693584000002,-0.0001000000001418,-42.41669999999994,-7.482199999999421,10.062699999999992,-5.10475968000001,-49.89889999999966,4.957940319999983,-44.94095967999967,S
ligand,5,gb,1735.6164026400004,1686.1581845599997,90.2985144,8.526512829121202e-14,-38.762599999999765,-6.018099999999624,8.723800000000097,-4.783396320000014,-44.78069999999942,3.940403680000083,-40.84029631999934,S
ligand,6,gb,1778.006939200001,1746.29292968,71.86675776,0.0001000000001685,-38.25299999999994,-4.909900000000111,7.882700000000062,-4.872648239999998,-43.16290000000006,3.010051760000064,-40.15284823999999,S
ligand,7,gb,1685.695443199999,1658.1683274400002,71.70579888,-0.0001000000004367,-42.27720000000024,-5.852700000000221,9.125,-5.173683120000009,-48.12990000000029,3.951316879999992,-44.1785831200003,S
ligand,8,gb,1735.7509462399998,1689.7144488799995,88.31709104,9.999999990384369e-05,-40.46300000000006,-7.688699999999982,10.642099999999926,-4.771093680000007,-48.15170000000003,5.871006319999919,-42.280693680000105,S
ligand,9,gb,1724.8876975199998,1689.7098620000002,71.98435504000001,-9.999999989140916e-05,-35.77900000000011,-5.046700000000194,8.544600000000031,-4.525319519999991,-40.825700000000126,4.01928048000004,-36.80641952000008,S
ligand,10,gb,1675.70938328,1644.1324255199995,69.18741016,-1.4210854715202004e-14,-35.21389999999993,-7.076999999999973,9.436799999999971,-4.756352400000008,-42.290899999999766,4.680447599999964,-37.6104523999998,S
ligand,11,gb,1803.6098650399992,1754.7372430399996,82.80986032,9.999999980081498e-05,-32.16290000000004,-6.044700000000099,8.378100000000057,-4.107838319999987,-38.207700000000045,4.27026168000007,-33.93743831999998,S
ligand,12,gb,1671.7736265599997,1621.8473727999994,82.63216936,1.2256862191861728e-13,-32.577399999999955,-4.299400000000088,7.728300000000028,-3.557415599999997,-36.87690000000005,4.170884400000031,-32.706015600000015,S
ligand,13,gb,1694.8214923200007,1650.4696923999995,80.27776583999999,2.3447910280083306e-13,-35.4824,-5.028499999999828,8.552699999999938,-3.9677659200000095,-40.51089999999997,4.584934079999928,-35.92596592000004,S
ligand,14,gb,1716.3415481599998,1677.7872343199997,70.24852096000001,0.0001000000000939,-31.271399999999996,-4.766899999999562,7.719800000000061,-3.375807120000015,-36.03829999999973,4.343992880000046,-31.694307119999685,S
ligand,15,gb,1670.4380806399995,1615.4440979199996,86.2514064,1.3677947663381929e-13,-30.95620000000008,-3.259599999999912,6.644699999999993,-3.68632367999999,-34.215800000000044,2.9583763200000037,-31.25742368000004,S
ligand,16,gb,1725.0934292000004,1673.3629893599998,84.21393912,-0.0001000000000299,-32.0143000000001,-5.124299999999673,7.915900000000048,-3.260699280000001,-37.13859999999985,4.655200720000046,-32.4833992799998,S
ligand,17,gb,1727.44418912,1684.8503650399994,76.48477903999999,1.6164847238542282e-13,-33.36059999999992,-4.345299999999853,7.58899999999991,-3.774054959999994,-37.705899999999886,3.814945039999915,-33.89095495999997,S
ligand,18,gb,1684.40712696,1644.8317361599995,70.88860392,2.007283228522283e-13,-30.961199999999995,-3.5250000000001056,6.633699999999931,-3.4607131200000087,-34.48629999999999,3.172986879999922,-31.31331312000007,S
ligand,19,gb,1688.8917412,1635.1547250399997,81.12308535999999,0.0001000000000157,-27.363399999999988,-4.94190000000004,7.719200000000053,-2.800069200000002,-32.30530000000012,4.919130800000051,-27.386169200000072,S
ligand,20,gb,1787.3640903199994,1742.8035112799998,77.03781032000002,-3.321787289678469e-13,-31.75179999999992,-5.898299999999678,8.669800000000041,-3.496931279999983,-37.65009999999972,5.172868720000058,-32.47723127999966,S
ligand,21,gb,1759.6503020799994,1723.2459797599995,69.61910895999999,-0.0001000000000228,-32.110600000000176,-5.573899999999846,8.185399999999998,-3.7155866399999966,-37.684500000000064,4.469813360000002,-33.21468664000006,S
ligand,22,gb,1806.413617920001,1764.5645478399997,78.39449336000001,1.5543122344752194e-13,-34.93049999999984,-6.728299999999653,9.166399999999928,-4.05302328,-41.65879999999969,5.113376719999929,-36.54542327999976,S
ligand,23,gb,1656.1024380800006,1618.0830924799996,77.72460464,-0.0001000000001738,-37.94199999999995,-6.072399999999827,8.73009999999995,-4.420859039999994,-44.01429999999981,4.309240959999957,-39.70505903999985,S
ligand,24,gb,1668.7884612800003,1634.6463924000004,66.05522848,-5.506706202140776e-14,-31.15539999999992,-6.256199999999994,9.459200000000042,-3.960759600000015,-37.41159999999989,5.498440400000026,-31.913159599999865,S
ligand,25,gb,1680.6435204000004,1632.8114676,82.47735895999999,0.0,-32.95409999999988,-6.581899999999958,9.06720000000001,-4.176506160000012,-39.53609999999999,4.890693839999998,-34.64540615999999,S
ligand,26,gb,1637.0242588800004,1586.9953676000005,85.52299871999999,1.2079226507921706e-13,-34.26330000000002,-6.260300000000317,9.102299999999971,-4.072807439999993,-40.52370000000023,5.029492559999978,-35.494207440000245,S
ligand,27,gb,1693.8472774400009,1644.57936136,77.87999079999999,9.99999999358181e-05,-28.34180000000006,-6.485399999999523,9.38740000000003,-3.1723747199999965,-34.82709999999979,6.215025280000033,-28.61207471999976,S
ligand,28,gb,1715.5912824799996,1675.5096987199995,72.46227816,1.1901590823981678e-13,-31.283499999999997,-5.805799999999637,8.396099999999954,-3.687494399999982,-37.08929999999977,4.708605599999972,-32.3806943999998,S
ligand,29,gb,1727.1569117600009,1683.2485021600005,75.76640087999999,9.999999980081498e-05,-30.357900000000136,-7.19630000000013,9.634400000000024,-3.9382912799999903,-37.554200000000094,5.696108720000032,-31.858091280000064,S
ligand,30,gb,1759.1575244,1719.741095759999,72.72318424000002,0.0001000000002377,-32.11549999999995,-7.1899999999998725,9.940900000000092,-3.942255600000005,-39.305499999999846,5.998644400000087,-33.30685559999976,S
ligand,31,gb,1666.0574050399996,1635.94356248,70.06376576,-9.999999987719832e-05,-38.49109999999982,-7.908100000000202,11.180899999999994,-4.731523200000001,-46.39919999999999,6.449376799999993,-39.9498232,S
ligand,32,gb,1729.7424222400002,1692.318466639999,74.93487120000002,9.9999999726208e-05,-36.27189999999992,-5.189099999999868,8.777300000000068,-4.827315600000002,-41.46099999999964,3.9499844000000657,-37.51101559999958,S
ligand,33,gb,1686.8910131200005,1634.3444696000006,92.58898799999996,-2.3092638912203256e-13,-38.69909999999993,-5.48340000000004,8.942300000000014,-4.802244480000014,-44.18259999999991,4.14005552,-40.042544479999904,S
ligand,34,gb,1763.4900076800004,1718.8008534399996,80.85074184,0.0001000000001063,-33.52239999999996,-7.977299999999928,10.13930000000004,-4.8012876000000055,-41.49969999999989,5.338012400000036,-36.16168759999985,S
ligand,35,gb,1668.6620774399998,1629.2071411199995,79.98683912,-9.99999999145018e-05,-39.0094999999999,-7.319099999999952,10.443400000000022,-4.646602799999993,-46.32859999999984,5.796797200000029,-40.53180279999981,S
ligand,36,gb,1640.2824442400006,1600.88174424,75.99012152,-1.3145040611561853e-13,-35.67309999999997,-5.276299999999996,8.650199999999922,-4.290221520000002,-40.94949999999992,4.35997847999992,-36.58952152,S
ligand,37,gb,1729.1277168799995,1688.4034792799994,75.38127688000002,9.999999987009288e-05,-33.980200000000096,-5.333700000000266,9.242799999999972,-4.586039280000002,-39.31400000000022,4.65676071999997,-34.65723928000025,S
ligand,38,gb,1703.0945025599988,1660.5868939999998,76.86862984000001,-0.0001000000000956,-33.6490000000001,-5.712599999999966,9.407599999999947,-4.406921280000001,-39.36160000000013,5.0006787199999465,-34.360921280000184,S
ligand,39,gb,1662.2067286400004,1620.97059312,79.34780912,-0.0001000000001525,-37.65729999999997,-5.00449999999999,9.146799999999924,-4.596573599999992,-42.661699999999946,4.550226399999932,-38.11147360000002,S
ligand,40,gb,1692.2341345599998,1657.4107211200003,73.39518904,0.0001000000001099,-37.708000000000254,-6.9295999999999625,10.922199999999904,-4.856475599999993,-44.6375000000002,6.065724399999911,-38.57177560000029,S
ligand,41,gb,1811.8645484,1763.28366832,79.94125584000001,8.704148513061227e-14,-30.790700000000072,-5.811899999999947,9.292500000000093,-4.050275760000003,-36.60269999999993,5.2422242400000885,-31.36047575999984,S
ligand,42,gb,1717.5452735200004,1674.2963534399996,79.47470359999998,0.0001999999999675,-35.18590000000002,-7.845400000000103,11.2433,-4.437983520000003,-43.03130000000025,6.805316479999998,-36.225983520000256,S
ligand,43,gb,1687.07160064,1655.068770319999,72.02127536,-6.039613253960853e-14,-39.3034,-6.0077999999998575,9.9562,-4.663445040000001,-45.31129999999986,5.292754959999998,-40.01854503999986,S
ligand,44,gb,1742.2624894400003,1698.21560248,74.27141776,-0.0001000000001365,-29.71419999999994,-6.944999999999728,10.588099999999963,-4.153330800000005,-36.65929999999965,6.43476919999996,-30.224530799999688,S
ligand,45,gb,1799.8610736799997,1758.1258195199994,78.33834976,1.1546319456101628e-13,-35.367699999999985,-7.624699999999978,11.332000000000011,-4.9426956,-42.99230000000007,6.389304400000012,-36.60299560000006,S
ligand,46,gb,1680.63203888,1645.2802265599998,72.06360319999999,-0.0001000000000086,-35.58620000000005,-6.453799999999805,9.88080000000005,-4.552490879999996,-42.03999999999997,5.328309120000054,-36.71169087999991,S
ligand,47,gb,1647.2408996800004,1614.1025870399994,71.40627168,0.0002000000001931,-36.882399999999855,-7.464299999999812,10.305900000000022,-4.22735904,-44.34659999999971,6.078540960000023,-38.268059039999685,S
ligand,48,gb,1742.4516545600002,1699.4438855199996,80.90445312,2.0961010704922958e-13,-37.39839999999985,-6.641500000000052,10.769100000000002,-4.625884080000005,-44.0399000000001,6.143215919999997,-37.89668408000011,S
ligand,49,gb,1746.350644480001,1704.1739747999995,79.16332936,-4.263256414560601e-14,-35.26689999999995,-10.80389999999954,13.79470000000002,-4.710559680000001,-46.07089999999953,9.08414032000002,-36.98675967999952,S
ligand,50,gb,1661.90586008,1628.1252027200003,71.05260768,-5.329070518200752e-14,-36.34320000000002,-9.604100000000305,13.12220000000002,-4.446850319999997,-45.9473000000002,8.675349680000025,-37.27195032000017,S
ligand,51,gb,1681.60123384,1645.9103812799997,78.70454416000001,8.881784197001252e-15,-41.46890000000005,-8.037899999999944,11.37229999999997,-4.879191600000004,-49.50680000000011,6.493108399999967,-43.01369160000015,S
ligand,52,gb,1715.6425843200009,1678.4715155199997,78.75134696,1.0658141036401505e-13,-40.50669999999993,-8.733299999999907,12.263799999999964,-4.604078159999992,-49.239999999999895,7.659721839999972,-41.58027815999993,S
ligand,53,gb,1716.0243556,1680.648704639999,75.84688632,1.1723955140041653e-13,-39.10350000000004,-9.104799999999946,12.45860000000004,-4.721535359999995,-48.20820000000003,7.737064640000044,-40.47113535999999,S
ligand,54,gb,1727.6771196800005,1674.29465312,91.46764592,9.999999992515995e-05,-36.551899999999975,-9.12089999999971,12.378499999999985,-4.790979359999991,-45.67289999999984,7.587520639999994,-38.08537935999985,S
ligand,55,gb,1771.8427154400008,1725.5117014400005,85.34836752,-1.4210854715202004e-14,-37.87340000000009,-6.820799999999854,10.127700000000043,-4.450853520000017,-44.69420000000005,5.676846480000027,-39.01735352000002,S
ligand,56,gb,1639.1547949600003,1599.1012838399995,77.3475008,9.999999993226538e-05,-36.37979999999984,-8.58359999999987,11.84679999999994,-4.177489680000007,-44.96339999999975,7.669310319999934,-37.29408967999981,S
ligand,57,gb,1649.99023064,1610.9743552800005,76.84791264,-9.999999965515372e-05,-36.36400000000009,-8.818100000000259,11.895899999999974,-4.5457372799999884,-45.18210000000023,7.350162719999986,-37.83193728000025,S
ligand,58,gb,1741.8826698399994,1708.48558488,76.87182848,9.99999999145018e-05,-42.02500000000019,-7.686600000000256,11.072000000000022,-4.835243519999992,-49.71160000000027,6.236756480000031,-43.47484352000024,S
ligand,59,gb,1723.000096879999,1683.16185904,77.5075148,-1.1723955140041653e-13,-36.41239999999999,-7.750900000000371,11.197400000000112,-4.703376960000002,-44.16330000000023,6.49402304000011,-37.66927696000012,S
ligand,60,gb,1700.30723208,1661.184676,81.10570879999999,-1.2434497875801753e-13,-40.61989999999984,-6.042099999999993,9.535500000000065,-4.856652719999996,-46.66209999999968,4.678847280000067,-41.98325271999961,S
ligand,61,gb,1647.75575848,1620.1518887999994,70.12008512,9.999999987186924e-05,-40.89680000000007,-9.002399999999657,12.259499999999951,-4.876615439999988,-49.89909999999982,7.382884559999965,-42.516215439999854,S
