compound,n_frames,mean,median,std,iqr,min,max
Compound 45,100,-71.72301498639999,-71.78508928000005,2.933329620298804,3.88709718000041,-79.20709864000015,-64.44772032000019
Compound 6,100,-37.61349028479995,-37.86431068000017,3.675465759681615,4.2725192800001395,-45.97166919999987,-27.386169200000072
Compound 41,100,-34.89596621839997,-35.30865591999982,4.0349658243804685,5.46161657999977,-44.07180288000017,-26.25210879999989
Compound 59,100,-34.54534683040001,-34.67800464000019,2.834101828764891,3.260350219999772,-39.86892575999974,-27.119801679999604
Compound 24,100,-28.040379056000003,-27.717454239999874,2.9053954414131185,4.054169800000206,-35.16048079999987,-20.9043482400006
Compound 29,100,-26.57094811919995,-26.803843159999868,2.722254021128545,3.810817960000179,-34.45775927999995,-18.90929999999988
