ligandName,Frames,mode,complex,receptor,ligand,Internal,Van der Waals,Electrostatic,Polar Solvation,Non-Polar Solvation,Gas,Solvation,TOTAL,status
ligand,2,gb,1729.2345372,1702.6668618400004,62.21405888000001,-0.000199999999987,-34.847900000000024,-1.211999999999951,5.038900000000093,-4.625183519999998,-36.0600999999998,0.4137164800000947,-35.6463835199997,S
ligand,3,gb,1689.7271662400012,1669.1965027999993,56.69726256,3.1619151741324463e-13,-34.43239999999993,-3.5994999999996784,6.384900000000008,-4.519599120000006,-38.031999999999705,1.8653008800000024,-36.166699119999706,S
ligand,4,gb,1740.58199888,1718.3182407200002,58.62433327999998,0.0001000000001276,-34.81699999999977,-3.9671999999998944,7.10570000000001,-4.682175120000007,-38.78419999999964,2.423524880000003,-36.36067511999964,S
ligand,5,gb,1771.7606615200002,1743.4973768,65.29485528000001,2.131628207280301e-14,-35.10429999999993,-5.349799999999993,7.90640000000002,-4.483870559999994,-40.45409999999982,3.4225294400000257,-37.03157055999979,S
ligand,6,gb,1675.5798088000006,1654.4255659199998,56.98894512,0.0001000000000868,-33.80769999999999,-4.96789999999991,7.175400000000021,-4.234602239999999,-38.77569999999993,2.940797760000022,-35.834902239999906,S
ligand,7,gb,1711.7578876799992,1688.22138176,58.81220920000001,1.7763568394002505e-14,-33.52349999999987,-6.758899999999676,9.482899999999953,-4.476203279999998,-40.28239999999963,5.006696719999955,-35.27570327999968,S
ligand,8,gb,1732.29888528,1710.7207748,63.14668087999999,7.460698725481053e-14,-39.33989999999997,-4.770300000000006,7.392499999999955,-4.85087039999999,-44.11019999999996,2.5416295999999665,-41.5685704,S
ligand,9,gb,1687.2967800800004,1663.92684776,62.41142592000001,0.0001000000000228,-36.989299999999886,-4.168799999999597,6.665199999999998,-4.548693600000004,-41.15809999999952,2.1165063999999942,-39.04159359999953,S
ligand,10,gb,1747.4086719999996,1724.0731205600005,56.14134352000001,-1.6164847238542282e-13,-30.96280000000006,-2.843000000000117,5.623299999999965,-4.623292079999996,-33.80580000000014,1.0000079199999687,-32.805792080000174,S
ligand,11,gb,1642.2626756800005,1625.2746482400005,57.26776512,-9.999999990562004e-05,-38.48049999999982,-2.6172999999997977,5.662300000000064,-4.844137680000002,-41.09769999999974,0.8181623200000621,-40.27953767999968,S
